dataset_id	display_name	modality	source_page_url	link_title	remote_url	file_type	direct_download	manual_download_needed	local_target_path
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.026_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.026_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.028_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.028_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.029_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.029_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.030_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.030_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.001_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.001_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.002_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.002_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.005_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.005_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.007_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.007_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.009_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.009_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.010_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.010_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.011_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.011_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.012_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.012_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.013_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.013_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.014_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.014_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.015_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.015_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.016_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.016_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.017_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.017_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.020_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.020_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.021_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.021_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.022_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.022_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.023_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.023_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.025_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.025_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.026_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.026_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.027_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.027_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.028_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.028_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.029_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.029_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.030_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.030_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.039_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.039_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.042_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.042_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.043_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.043_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.047_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H21.33.047_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.008_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.008_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.026_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.026_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.028_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.028_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.033_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.033_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.035_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.035_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.036_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.036_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.037_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.037_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.038_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.038_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.045_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H20.33.045_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H200.1023_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H200.1023_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.009_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H21.33.009_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.017_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H21.33.017_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.020_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H21.33.020_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.026_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\RNAseq\donor_objects\H21.33.026_SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad
